Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,text
45050101,2019-12-01T02:04:01.000,,DOT,Department of Transportation,Street Condition,Pothole,,10001,WEST   29 STREET,WEST   29 STREET,5 AVENUE,BROADWAY,,,BLOCKFACE,NEW YORK,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2019-12-01T02:04:01.000,05 MANHATTAN,,MANHATTAN,987653,210944,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.745668482774114,-73.9877188309367,"{'longitude': '-73.9877188309367', 'latitude': '40.745668482774114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Street Condition Pothole The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
45054936,2019-12-01T01:59:41.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,178 AVENUE U,AVENUE U,WEST    7 STREET,WEST    6 STREET,WEST    7 STREET,WEST    6 STREET,,BROOKLYN,AVENUE U,,In Progress,,,,15 BROOKLYN,3071200010,BROOKLYN,990437,156589,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59647471152785,-73.97772147626671,"{'longitude': '-73.97772147626671', 'latitude': '40.59647471152785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Commercial Loud Music/Party
45049329,2019-12-01T01:59:08.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,807 SCHENCK AVENUE,SCHENCK AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,LINDEN BOULEVARD,STANLEY AVENUE,,BROOKLYN,SCHENCK AVENUE,,In Progress,,,,05 BROOKLYN,3043550001,BROOKLYN,1016570,179974,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6606047801465,-73.8835082736363,"{'longitude': '-73.8835082736363', 'latitude': '40.6606047801465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45052046,2019-12-01T01:58:23.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11358,42-41 159 STREET,159 STREET,SANFORD AVENUE,43 AVENUE,SANFORD AVENUE,43 AVENUE,,FLUSHING,159 STREET,,In Progress,,,,07 QUEENS,4053900008,QUEENS,1037757,216222,MOBILE,Unspecified,QUEENS,,,,,,,,40.759993999442614,-73.80685560533585,"{'longitude': '-73.80685560533585', 'latitude': '40.759993999442614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45054999,2019-12-01T01:58:07.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11426,88-49 237 STREET,237 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,,BELLEROSE,237 STREET,,In Progress,,,,13 QUEENS,4079760001,QUEENS,1059083,205168,ONLINE,Unspecified,QUEENS,,,,,,,,40.729498896965936,-73.72999847973517,"{'longitude': '-73.72999847973517', 'latitude': '40.729498896965936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Illegal Parking Commercial Overnight Parking
45050500,2019-12-01T01:57:49.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,650 WEST  172 STREET,WEST  172 STREET,BROADWAY,FT WASHINGTON AVENUE,BROADWAY,FT WASHINGTON AVENUE,,NEW YORK,WEST  172 STREET,,In Progress,,,,12 MANHATTAN,1021420084,MANHATTAN,1000909,246868,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.844255060237415,-73.93978982759268,"{'longitude': '-73.93978982759268', 'latitude': '40.844255060237415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
45049237,2019-12-01T01:57:48.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10452,1075 GERARD AVENUE,GERARD AVENUE,EAST  165 STREET,MCCLELLAN STREET,EAST  165 STREET,MCCLELLAN STREET,,BRONX,GERARD AVENUE,,In Progress,,,,04 BRONX,2024870020,BRONX,1005840,242612,PHONE,Unspecified,BRONX,,,,,,,,40.832562901301856,-73.92198155650091,"{'longitude': '-73.92198155650091', 'latitude': '40.832562901301856', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Banging/Pounding
45054972,2019-12-01T01:57:30.000,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10009,184 1 AVENUE,1 AVENUE,EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,,NEW YORK,1 AVENUE,,In Progress,,,,03 MANHATTAN,1004390002,MANHATTAN,988720,205063,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72952611867896,-73.98387201656533,"{'longitude': '-73.98387201656533', 'latitude': '40.72952611867896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Commercial Loud Music/Party
45050524,2019-12-01T01:57:30.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,,10001,HERALD SQUARE,HERALD SQUARE,WEST   34 STREET,WEST   35 STREET,WEST   34 STREET,WEST   35 STREET,,NEW YORK,HERALD SQUARE,,In Progress,,,,05 MANHATTAN,,MANHATTAN,987673,212625,ONLINE,Unspecified,MANHATTAN,,,"HERALD SQUARE, MANHATTAN (NEW YORK) ,NY, 10001",,,,,40.75028239719524,-73.98764579685543,"{'longitude': '-73.98764579685543', 'latitude': '40.75028239719524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Taxi Complaint Driver Complaint - Non Passenger
45053708,2019-12-01T01:57:21.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,205 2 AVENUE,2 AVENUE,EAST   12 STREET,EAST   13 STREET,EAST   12 STREET,EAST   13 STREET,,NEW YORK,2 AVENUE,,In Progress,,,,03 MANHATTAN,1004680035,MANHATTAN,988249,205782,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.731499823118334,-73.98557098076117,"{'longitude': '-73.98557098076117', 'latitude': '40.731499823118334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise - Residential Loud Music/Party
